ï»¿X,Y,FID,AÃ±o,IdAccident,Fecha,Mes,Dia_mes,Dia_semana,Hora,Hora_texto,Hora_aprox,RegiÃ³n,Comuna,Tipo_Accid,Tipo__CONA,Zona,UbicaciÃ³n,Causa__CON,Causa_Acci,Calle_Uno,Calle_Dos,Intersecci,NÃºmero,Ruta,Ubicaci_1,Calzada,Tipo_Calza,Estado_Cal,CondiciÃ³n,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA1,Tipo_direc,Direccion,Lat,Lon,Archivo_Origen
-8137392.4058242,-4403539.73022363,428,2023,1567825,2023/10/12 00:00:00+00,Octubre,12,Jueves,1899/12/30 00:00:00+00,18:00:00,18,REGION BIO BIO,TALCAHUANO,COLISION FRONTAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,ADELANTAMIENTO SIN EL ESPACIO O TIEMPO SUFICIENTE,DESIDERIO GARCIA, ,- DESIDERIO GARCIA,200, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0,8,81,8110,BiobÃ­o,ConcepciÃ³n,Talcahuano,Numero,"DESIDERIO GARCIA 200, Talcahuano",-36.744405,-73.09944,Bici_2023.csv
-8126285.31324057,-4415850.18335923,453,2023,1538505,2023/06/13 00:00:00+00,Junio,13,Martes,1899/12/30 00:00:00+00,19:15:00,19,REGION BIO BIO,CONCEPCION,COLISION LATERAL,COLISION,URBANA,CRUCE SIN SEÃALIZACION,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,30 DE OCTUBRE,LAS AZUCENAS,30 DE OCTUBRE - LAS AZUCENAS,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,NUBLADO,0,0,0,0,8,81,8101,BiobÃ­o,ConcepciÃ³n,ConcepciÃ³n,Interseccion,"30 DE OCTUBRE & LAS AZUCENAS, ConcepciÃ³n",-36.832968,-72.999663,Bici_2023.csv
-8136919.38510696,-4404187.43399333,468,2023,1567828,2023/10/20 00:00:00+00,Octubre,20,Viernes,1899/12/30 00:00:00+00,13:30:00,13,REGION BIO BIO,TALCAHUANO,COLISION LATERAL,COLISION,URBANA,CRUCE CON SEÃAL PARE,DESOBEDIENCIA A SEÃALIZACION,SEÃALIZACION DESOBEDECER SEÃAL PARE,J M CRUZ, ,- J M CRUZ,3695, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,1,0,0,8,81,8110,BiobÃ­o,ConcepciÃ³n,Talcahuano,Numero,"J M CRUZ 3695, Talcahuano",-36.749067,-73.09519,Bici_2023.csv
-8131897.2627522,-4415922.92361875,543,2023,1539820,2023/06/20 00:00:00+00,Junio,20,Martes,1899/12/30 00:00:00+00,14:50:00,14,REGION BIO BIO,CONCEPCION,COLISION PERPENDICULAR,COLISION,URBANA,CRUCE SIN SEÃALIZACION,IMPRUDENCIA DEL CONDUCTOR,NO RESPETAR DERECHO PREFERENTE DE PASO A VEHICULO,CICLOVIA VICTOR LAMAS,HOSPICIO,CICLOVIA VICTOR LAMAS - HOSPICIO,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,NUBLADO,0,0,0,0,8,81,8101,BiobÃ­o,ConcepciÃ³n,ConcepciÃ³n,Interseccion,"CICLOVIA VICTOR LAMAS & HOSPICIO, ConcepciÃ³n",-36.833491,-73.050076,Bici_2023.csv
-8135800.46964624,-4407461.21105669,547,2023,1508749,2023/02/06 00:00:00+00,Febrero,6,Lunes,1899/12/30 00:00:00+00,21:10:00,21,REGION BIO BIO,TALCAHUANO,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,VIRAJES INDEBIDOS,ALEMPARTE, ,- ALEMPARTE,6309, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,8,81,8110,BiobÃ­o,ConcepciÃ³n,Talcahuano,Numero,"ALEMPARTE 6309, Talcahuano",-36.772628,-73.085139,Bici_2023.csv
-8139344.26117053,-4400819.21787305,606,2023,1513544,2023/02/19 00:00:00+00,Febrero,19,Domingo,1899/12/30 00:00:00+00,10:10:00,10,REGION BIO BIO,TALCAHUANO,COLISION LATERAL,COLISION,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,DESOBEDIENCIA A SEÃALIZACION,SEÃALIZACION DESOBEDECER LUZ ROJA DE SEMAFORO,CRISTOBAL COLON, ,- CRISTOBAL COLON,3354, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,8,81,8110,BiobÃ­o,ConcepciÃ³n,Talcahuano,Numero,"CRISTOBAL COLON 3354, Talcahuano",-36.724819,-73.116974,Bici_2023.csv
-8138037.75363276,-4410231.42810517,615,2023,1573021,2023/11/20 00:00:00+00,Noviembre,20,Lunes,1899/12/30 00:00:00+00,11:24:00,11,REGION BIO BIO,HUALPEN,COLISION,COLISION,URBANA,TRAMO DE VIA RECTA,VELOCIDAD IMPRUDENTE,VELOCIDAD MAYOR QUE MAXIMA PERMITIDA,BREMEN, ,- BREMEN,4074, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,2,8,81,8112,BiobÃ­o,ConcepciÃ³n,HualpÃ©n,Numero,"BREMEN 4074, HualpÃ©n",-36.792559,-73.105237,Bici_2023.csv
-8132880.96821243,-4413072.3043038,618,2023,1511970,2023/02/23 00:00:00+00,Febrero,23,Jueves,1899/12/30 00:00:00+00,18:30:00,18,REGION BIO BIO,CONCEPCION,COLISION,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,ANIBAL PINTO, ,- ANIBAL PINTO,1827, , ,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,1,0,0,8,81,8101,BiobÃ­o,ConcepciÃ³n,ConcepciÃ³n,Numero,"ANIBAL PINTO 1827, ConcepciÃ³n",-36.812992,-73.058913,Bici_2023.csv
-8131801.63930961,-4414358.63173813,646,2023,1541967,2023/06/30 00:00:00+00,Junio,30,Viernes,1899/12/30 00:00:00+00,18:20:00,18,REGION BIO BIO,CONCEPCION,COLISION FRONTAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION CONTRA SENTIDO DEL TRANSITO,CICLOVIA LOS CARRERA,COSTANERA,CICLOVIA LOS CARRERA - COSTANERA,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,8,81,8101,BiobÃ­o,ConcepciÃ³n,ConcepciÃ³n,Interseccion,"CICLOVIA LOS CARRERA & COSTANERA, ConcepciÃ³n",-36.822243,-73.049217,Bici_2023.csv
-8141664.8792952,-4418816.28228172,648,2023,1575893,2023/11/22 00:00:00+00,Noviembre,22,MiÃ©rcoles,1899/12/30 00:00:00+00,10:20:00,10,REGION BIO BIO,SAN PEDRO DE LA PAZ,COLISION,COLISION,URBANA,ACERA O BERMA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,TUCAPEL, ,- TUCAPEL,635, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,8,81,8108,BiobÃ­o,ConcepciÃ³n,San Pedro de la Paz,Numero,"TUCAPEL 635, San Pedro de la Paz",-36.854291,-73.13782,Bici_2023.csv
