X,Y,FID,Año,IdAccident,Fecha,Mes,Dia_mes,Dia_semana,Hora,Hora_texto,Hora_aprox,Región,Comuna,Tipo_Accid,Tipo__CONA,Zona,Ubicación,Causa__CON,Causa_Acci,Calle_Uno,Calle_Dos,Intersecci,Número,Ruta,Ubicaci_1,Calzada,Tipo_Calza,Estado_Cal,Condición,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA1,Tipo_direc,Direccion,Lat,Lon
-8049746.15018115,-4613768.14466845,1,2023,1503540,2023/01/13 00:00:00+00,Enero,13,Viernes,1899/12/30 00:00:00+00,07:50:00,7,REGION ARAUCANIA,VICTORIA,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION CAMBIAR SORPRESIVAMENTE PISTA CIRCULACION,VILLA ALEGRE,TACNA,TACNA - VILLA ALEGRE,0, , ,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,09,092,09211,La Araucanía,Malleco,Victoria,Interseccion,"TACNA & VILLA ALEGRE, Victoria",-38.2427,-72.3121
-7872714.84190738,-3863071.1179348,2,2023,1504505,2023/01/13 00:00:00+00,Enero,13,Viernes,1899/12/30 00:00:00+00,07:55:00,7,REGION VALPARAISO,SAN FELIPE,COLISION,COLISION,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,MICHIMALONGO,12 DE FEBRERO,12 DE FEBRERO - MICHIMALONGO,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,05,057,05701,Valparaíso,San Felipe de Aconcagua,San Felipe,Interseccion,"12 DE FEBRERO & MICHIMALONGO, San Felipe",-32.756827,-70.721801
-8129817.03540548,-4426067.75468174,3,2023,1503849,2023/01/13 00:00:00+00,Enero,13,Viernes,1899/12/30 00:00:00+00,08:50:00,8,REGION BIO BIO,CHIGUAYANTE,COLISION PERPENDICULAR,COLISION,URBANA,CRUCE CON SEÑAL CEDA EL PASO,IMPRUDENCIA DEL CONDUCTOR,NO RESPETAR DERECHO PREFERENTE DE PASO A VEHICULO,8 ORIENTE,CALLE UNO,8 ORIENTE - CALLE UNO,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,1,0,0,08,081,08103,Biobío,Concepción,Chiguayante,Interseccion,"8 ORIENTE & CALLE UNO, Chiguayante",-36.906397,-73.031389
-7890438.49671039,-3976677.64233582,4,2023,1504044,2023/01/13 00:00:00+00,Enero,13,Viernes,1899/12/30 00:00:00+00,15:30:00,15,REGION METROPOLITANA,PEÑAFLOR,CHOQUE LADO/POSTERIOR,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,VICUÑA MACKENNA,FRANCISCO BILBAO,FRANCISCO BILBAO - VICUÑA MACKENNA,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,13,136,13605,Metropolitana de Santiago,Talagante,Peñaflor,Interseccion,"FRANCISCO BILBAO & VICUÑA MACKENNA, Peñaflor",-33.610925,-70.881015
-7926585.60515219,-4116407.58493968,5,2023,1507872,2023/01/13 00:00:00+00,Enero,13,Viernes,1899/12/30 00:00:00+00,17:00:00,17,REGION LIB.B.O'HIGGINS,NANCAGUA,COLISION LATERAL,COLISION,URBANA,CRUCE SIN SEÑALIZACION,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,DANIEL ITURRIAGA,LOS ACACIOS,DANIEL ITURRIAGA - LOS ACACIOS,0, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,1,0,06,063,06305,Libertador General Bernardo O'Higgins,Colchagua,Nancagua,Interseccion,"DANIEL ITURRIAGA & LOS ACACIOS, Nancagua",-34.649918,-71.20573
-7863008.48357847,-3966598.52203556,6,2023,1504168,2023/01/13 00:00:00+00,Enero,13,Viernes,1899/12/30 00:00:00+00,18:50:00,18,REGION METROPOLITANA,SAN RAMON,COLISION,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,STA ROSA,PARAGUAY,PARAGUAY - STA ROSA,0, , ,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0,13,131,13131,Metropolitana de Santiago,Santiago,San Ramón,Interseccion,"PARAGUAY & STA ROSA, San Ramón",-33.535487,-70.634607
-7867955.31028682,-3953498.45904782,7,2023,1503487,2023/01/13 00:00:00+00,Enero,13,Viernes,1899/12/30 00:00:00+00,19:35:00,19,REGION METROPOLITANA,SANTIAGO,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,ROSAS,CHACABUCO,CHACABUCO - ROSAS,0, , ,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,13,131,13101,Metropolitana de Santiago,Santiago,Santiago,Interseccion,"CHACABUCO & ROSAS, Santiago",-33.43734,-70.679045
-7867955.31028682,-3953498.45904782,8,2023,1503865,2023/01/13 00:00:00+00,Enero,13,Viernes,1899/12/30 00:00:00+00,19:35:00,19,REGION METROPOLITANA,SANTIAGO,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,ROSAS,CHACABUCO,CHACABUCO - ROSAS,0, , ,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,13,131,13101,Metropolitana de Santiago,Santiago,Santiago,Interseccion,"CHACABUCO & ROSAS, Santiago",-33.43734,-70.679045
-7871001.11174246,-3970621.87237546,9,2023,1503391,2023/01/13 00:00:00+00,Enero,13,Viernes,1899/12/30 00:00:00+00,19:55:00,19,REGION METROPOLITANA,SAN BERNARDO,COLISION POR ALCANCE,COLISION,URBANA,CRUCE SIN SEÑALIZACION,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,AKIVI,KIA KIA,AKIVI - KIA KIA,0, , ,BIDIRECCIONAL,MIXTO,REGULAR,SECO,DESPEJADO,0,0,0,1,13,134,13401,Metropolitana de Santiago,Maipo,San Bernardo,Interseccion,"AKIVI & KIA KIA, San Bernardo",-33.565608,-70.706406
-8073995.49824979,-4521150.52005229,10,2023,1505467,2023/01/13 00:00:00+00,Enero,13,Viernes,1899/12/30 00:00:00+00,20:00:00,20,REGION BIO BIO,NEGRETE,COLISION,COLISION,URBANA,CRUCE CON SEÑAL PARE,DESOBEDIENCIA A SEÑALIZACION,SEÑALIZACION DESOBEDECER SEÑAL PARE,10 DE JULIO,LUIS CRUZ MARTINEZ,10 DE JULIO - LUIS CRUZ MARTINEZ,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0,08,083,08307,Biobío,Biobío,Negrete,Interseccion,"10 DE JULIO & LUIS CRUZ MARTINEZ, Negrete",-37.586321,-72.529936
-7964032.93641181,-3898685.7656755,11,2023,1507092,2023/01/14 00:00:00+00,Enero,14,Sábado,1899/12/30 00:00:00+00,18:50:00,18,REGION VALPARAISO,VIÑA DEL MAR,COLISION POR ALCANCE,COLISION,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,LA MARINA,SIMON BOLIVAR,LA MARINA - SIMON BOLIVAR,0, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,05,051,05109,Valparaíso,Valparaíso,Viña del Mar,Interseccion,"LA MARINA & SIMON BOLIVAR, Viña del Mar",-33.025475,-71.542125
