X,Y,FID,Año,IdAccident,Fecha,Mes,Dia_mes,Dia_semana,Hora,Hora_texto,Hora_aprox,Región,Comuna,Tipo_Accid,Tipo__CONA,Zona,Ubicación,Causa__CON,Causa_Acci,Calle_Uno,Calle_Dos,Intersecci,Número,Ruta,Ubicaci_1,Calzada,Tipo_Calza,Estado_Cal,Condición,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA1,Tipo_direc,Direccion,Lat,Lon
-7863012.79317897,-3863021.83527539,11,2024,1654150,2024/12/02 00:00:00+00,Diciembre,2,Lunes,1899/12/30 00:00:00+00,07:30:00,7,REGION VALPARAISO,SANTA MARIA,COLISION,COLISION,RURAL,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,LOS LEMUS, ,- LOS LEMUS,0, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,1,0,0,0,05,057,05706,Valparaíso,San Felipe de Aconcagua,Santa María,Numero,"LOS LEMUS 0, Santa María",-32.756455,-70.634646
-7865567.55847193,-3950840.31527554,12,2024,1654341,2024/11/30 00:00:00+00,Noviembre,30,Sábado,1899/12/30 00:00:00+00,13:40:00,13,REGION METROPOLITANA,INDEPENDENCIA,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,NO RESPETAR DERECHO PREFERENTE DE PASO A VEHICULO,BEZANILLA, ,- BEZANILLA,1285, , ,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,13,131,13108,Metropolitana de Santiago,Santiago,Independencia,Numero,"BEZANILLA 1285, Independencia",-33.417411,-70.657596
-7930126.15245916,-3494328.31198323,13,2024,1654356,2024/11/29 00:00:00+00,Noviembre,29,Viernes,1899/12/30 00:00:00+00,13:30:00,13,REGION COQUIMBO,LA SERENA,COLISION PERPENDICULAR,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,GUILLERMO ULRIKSEN, ,- GUILLERMO ULRIKSEN,1799, , ,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,04,041,04101,Coquimbo,Elqui,La Serena,Numero,"GUILLERMO ULRIKSEN 1799, La Serena",-29.928234,-71.237535
-8139775.0472173,-4400382.71967195,14,2024,1654581,2024/11/12 00:00:00+00,Noviembre,12,Martes,1899/12/30 00:00:00+00,18:45:00,18,REGION BIO BIO,TALCAHUANO,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION CAMBIAR SORPRESIVAMENTE PISTA CIRCULACION,COLOMBIA, ,- COLOMBIA,118, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0,08,081,08110,Biobío,Concepción,Talcahuano,Numero,"COLOMBIA 118, Talcahuano",-36.721676,-73.120843
-7853626.47628216,-3947453.44999212,15,2024,1654610,2024/11/25 00:00:00+00,Noviembre,25,Lunes,1899/12/30 00:00:00+00,12:40:00,12,REGION METROPOLITANA,LAS CONDES,ATROPELLO,ATROPELLO,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,APACHES, ,- APACHES,8263, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,13,131,13114,Metropolitana de Santiago,Santiago,Las Condes,Numero,"APACHES 8263, Las Condes",-33.392013,-70.550327
-7912797.71131474,-4087772.63228251,16,2024,1654868,2024/12/05 00:00:00+00,Diciembre,5,Jueves,1899/12/30 00:00:00+00,11:12:00,11,REGION LIB.B.O'HIGGINS,SAN VICENTE,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,GERMAN RIESCO, ,- GERMAN RIESCO,1280, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,06,061,06117,Libertador General Bernardo O'Higgins,Cachapoal,San Vicente,Numero,"GERMAN RIESCO 1280, San Vicente",-34.438038,-71.081871
-8051561.7122659,-4506872.45345183,17,2024,1655179,2024/12/02 00:00:00+00,Diciembre,2,Lunes,1899/12/30 00:00:00+00,09:00:00,9,REGION BIO BIO,LOS ANGELES,COLISION LATERAL,COLISION,URBANA,CRUCE SIN SENALIZACION,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,FRANCISCO ENCINA, ,- FRANCISCO ENCINA,1355, , ,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,08,083,08301,Biobío,Biobío,Los Angeles,Numero,"FRANCISCO ENCINA 1355, Los Angeles",-37.484612,-72.328409
-7899110.90185335,-4075727.77162024,18,2024,1655325,2024/12/05 00:00:00+00,Diciembre,5,Jueves,1899/12/30 00:00:00+00,16:00:00,16,REGION LIB.B.O'HIGGINS,REQUINOA,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,TOMAS ARGOMEDO, ,- TOMAS ARGOMEDO,2055, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,1,0,0,0,06,061,06116,Libertador General Bernardo O'Higgins,Cachapoal,Requínoa,Numero,"TOMAS ARGOMEDO 2055, Requínoa",-34.348753,-70.958921
-7948172.9705492,-3938608.80218882,19,2024,1655634,2024/12/07 00:00:00+00,Diciembre,7,Sábado,1899/12/30 00:00:00+00,17:05:00,17,REGION VALPARAISO,CASABLANCA,COLISION,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,DIEGO PORTALES, ,- DIEGO PORTALES,792, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,1,0,1,05,051,05102,Valparaíso,Valparaíso,Casablanca,Numero,"DIEGO PORTALES 792, Casablanca",-33.32565,-71.399653
-7851814.98040897,-3950666.09737466,20,2024,1655790,2024/11/29 00:00:00+00,Noviembre,29,Viernes,1899/12/30 00:00:00+00,13:06:00,13,REGION METROPOLITANA,LAS CONDES,COLISION,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,LAS CONDES, ,- LAS CONDES,7444, , ,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,13,131,13114,Metropolitana de Santiago,Santiago,Las Condes,Numero,"LAS CONDES 7444, Las Condes",-33.416105,-70.534054
