X,Y,FID,Año,IdAccident,Fecha,Mes,Dia_mes,Dia_semana,Hora,Hora_texto,Hora_aprox,Región,Comuna,Tipo_Accid,Tipo__CONA,Zona,Ubicación,Causa__CON,Causa_Acci,Calle_Uno,Calle_Dos,Intersecci,Número,Ruta,Ubicaci_1,Calzada,Tipo_Calza,Estado_Cal,Condición,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA1,Tipo_direc,Direccion,Lat,Lon
-7977673.95442255,-4222708.07387332,11,2024,1581910,2024/01/01 00:00:00+00,Enero,1,Lunes,1899/12/30 00:00:00+00,22:50:00,22,REGION MAULE,TALCA,CHOQUE LADO/LADO,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,34 1/2 ORIENTE, ,- 34 1/2 ORIENTE,685, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,07,071,07101,Maule,Talca,Talca,Numero,"34 1/2 ORIENTE 685, Talca",-35.431735,-71.664664
-7861274.35969397,-3948821.4810544,12,2024,1602280,2024/02/20 00:00:00+00,Febrero,20,Martes,1899/12/30 00:00:00+00,18:30:00,18,REGION METROPOLITANA,RECOLETA,COLISION,COLISION,URBANA,OTROS NO CONSIDERADOS,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,LA MONTANA, ,- LA MONTANA,4035, , ,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0,13,131,13127,Metropolitana de Santiago,Santiago,Recoleta,Numero,"LA MONTANA 4035, Recoleta",-33.402273,-70.619029
-7921720.85689815,-4173185.81401864,13,2024,1592857,2024/01/23 00:00:00+00,Enero,23,Martes,1899/12/30 00:00:00+00,19:00:00,19,REGION MAULE,CURICO,COLISION LATERAL,COLISION,RURAL,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO, , , ,0,J-65,11,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,1,0,0,07,073,07301,Maule,Curicó,Curicó,Ruta,J-65 km 11,-35.06844,-71.162029
-7878592.21045864,-4051200.92575099,14,2024,1647373,2024/10/18 00:00:00+00,Octubre,18,Viernes,1899/12/30 00:00:00+00,12:50:00,12,REGION LIB.B.O'HIGGINS,RANCAGUA,COLISION FRONTAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,VIRAJES INDEBIDOS,SAN RAMON, ,- SAN RAMON,3202, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,2,0,0,06,061,06101,Libertador General Bernardo O'Higgins,Cachapoal,Rancagua,Numero,"SAN RAMON 3202, Rancagua",-34.166649,-70.774598
-7872371.29924985,-3938635.46350704,15,2024,1582188,2024/01/01 00:00:00+00,Enero,1,Lunes,1899/12/30 00:00:00+00,11:50:00,11,REGION METROPOLITANA,QUILICURA,CHOQUE FRONTAL,CHOQUE,URBANA,TRAMO DE VIA RECTA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,PDTE EDUARDO FREI MONTALVA, ,- PDTE EDUARDO FREI MONTALVA,12200, , ,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,1,0,0,13,131,13125,Metropolitana de Santiago,Santiago,Quilicura,Numero,"PDTE EDUARDO FREI MONTALVA 12200, Quilicura",-33.32585,-70.718715
-7862348.6010289,-3973288.02542488,16,2024,1582791,2024/01/02 00:00:00+00,Enero,2,Martes,1899/12/30 00:00:00+00,09:45:00,9,REGION METROPOLITANA,LA PINTANA,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,OBSERVATORIO, ,- OBSERVATORIO,1790, , ,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,1,0,0,13,131,13112,Metropolitana de Santiago,Santiago,La Pintana,Numero,"OBSERVATORIO 1790, La Pintana",-33.585562,-70.628679
-7872389.70060659,-3963914.6374894,17,2024,1582899,2024/01/04 00:00:00+00,Enero,4,Jueves,1899/12/30 00:00:00+00,20:00:00,20,REGION METROPOLITANA,CERRILLOS,CHOQUE LADO/LADO,CHOQUE,URBANA,VIA PRIVADA DE USO PUBLICO,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,AMERICO VESPUCIO, ,- AMERICO VESPUCIO,1501, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,13,131,13102,Metropolitana de Santiago,Santiago,Cerrillos,Numero,"AMERICO VESPUCIO 1501, Cerrillos",-33.515388,-70.71888
-7943467.98517856,-4114337.79210003,18,2024,1583000,2024/01/02 00:00:00+00,Enero,2,Martes,1899/12/30 00:00:00+00,18:20:00,18,REGION LIB.B.O'HIGGINS,SANTA CRUZ,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,ERRAZURIZ, ,- ERRAZURIZ,920, , ,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,1,0,0,06,063,06310,Libertador General Bernardo O'Higgins,Colchagua,Santa Cruz,Numero,"ERRAZURIZ 920, Santa Cruz",-34.634621,-71.357387
-7927786.42090037,-3985560.25514964,19,2024,1583028,2024/01/04 00:00:00+00,Enero,4,Jueves,1899/12/30 00:00:00+00,12:04:00,12,REGION METROPOLITANA,MELIPILLA,COLISION PERPENDICULAR,COLISION,RURAL,CRUCE SIN SENALIZACION,IMPRUDENCIA DEL CONDUCTOR,ADELANTAMIENTO SOBREPASANDO LINEA CONTINUA, , , ,0,G-74-F,"0,3",BIDIRECCIONAL,ASFALTO,BUENO,SECO,NUBLADO,0,1,0,0,13,135,13501,Metropolitana de Santiago,Melipilla,Melipilla,Numero,"G-74-F km 0,3",-33.677353,-71.216517
-8126873.65686485,-5050313.27813223,20,2024,1583095,2024/01/05 00:00:00+00,Enero,5,Viernes,1899/12/30 00:00:00+00,10:00:00,10,REGION LOS LAGOS,LLANQUIHUE,CHOQUE LADO/LADO,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,BAQUEDANO, ,- BAQUEDANO,506, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,LLUVIA,0,0,0,0,10,101,10107,Los Lagos,Llanquihue,Llanquihue,Numero,"BAQUEDANO 506, Llanquihue",-41.256932,-73.004948
-7835526.20453187,-2711967.09747527,21,2024,1583149,2024/01/06 00:00:00+00,Enero,6,Sábado,1899/12/30 00:00:00+00,11:20:00,11,REGION ANTOFAGASTA,ANTOFAGASTA,VOLCADURA,VOLCADURA,URBANA,TRAMO DE VIA RECTA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,PADRE ALBERTO HURTADO, ,- PADRE ALBERTO HURTADO,2454, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,1,0,02,021,02101,Antofagasta,Antofagasta,Antofagasta,Numero,"PADRE ALBERTO HURTADO 2454, Antofagasta",-23.659466,-70.387729
-7870044.25035405,-3928374.76389866,22,2024,1583213,2024/01/07 00:00:00+00,Enero,7,Domingo,1899/12/30 00:00:00+00,21:50:00,21,REGION METROPOLITANA,COLINA,CHOQUE FRONTAL,CHOQUE,RURAL,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE, , , ,0,RUTA 57,"13,9",BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,2,0,0,13,133,13301,Metropolitana de Santiago,Chacabuco,Colina,Numero,"RUTA 57 km 13,9",-33.2488,-70.69781
-8082960.21270179,-4684141.14588167,23,2024,1583252,2024/01/05 00:00:00+00,Enero,5,Viernes,1899/12/30 00:00:00+00,09:00:00,9,REGION ARAUCANIA,TEMUCO,COLISION POR ALCANCE,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION CAMBIAR SORPRESIVAMENTE PISTA CIRCULACION,HOLANDESA, ,- HOLANDESA,615, , ,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,1,0,0,09,091,09101,La Araucanía,Cautín,Temuco,Numero,"HOLANDESA 615, Temuco",-38.737507,-72.610467
-7863273.07044925,-3945121.93935037,24,2024,1583262,2024/01/04 00:00:00+00,Enero,4,Jueves,1899/12/30 00:00:00+00,17:20:00,17,REGION METROPOLITANA,HUECHURABA,COLISION,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,EL SALTO, ,- EL SALTO,4447, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,1,0,13,131,13107,Metropolitana de Santiago,Santiago,Huechuraba,Numero,"EL SALTO 4447, Huechuraba",-33.374524,-70.636984
-7878592.21045864,-4051200.92575099,25,2024,1583331,2024/01/07 00:00:00+00,Enero,7,Domingo,1899/12/30 00:00:00+00,22:20:00,22,REGION LIB.B.O'HIGGINS,RANCAGUA,COLISION POR ALCANCE,COLISION,URBANA,TRAMO DE VIA RECTA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,SAN RAMON, ,- SAN RAMON,5151, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,1,0,0,0,06,061,06101,Libertador General Bernardo O'Higgins,Cachapoal,Rancagua,Numero,"SAN RAMON 5151, Rancagua",-34.166649,-70.774598
-7860434.16687599,-3981824.63383746,26,2024,1583359,2024/01/04 00:00:00+00,Enero,4,Jueves,1899/12/30 00:00:00+00,07:30:00,7,REGION METROPOLITANA,PIRQUE,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,VIRAJES INDEBIDOS,VIRGINIA SUBERCASEAUX, ,- VIRGINIA SUBERCASEAUX,3900, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,13,132,13202,Metropolitana de Santiago,Cordillera,Pirque,Numero,"VIRGINIA SUBERCASEAUX 3900, Pirque",-33.649423,-70.611482
